Set_Number,Start_Code_Point,End_Code_Point,Script_Name,Author,Status,Description
1,U+108F40,U+10937F,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+109640,U+1096FF,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+109780,U+1097DF,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+10A0B0,U+10A0FF,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+10A1C0,U+10A1FF,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+10A6B0,U+10A6DF,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+10A700,U+10AE9F,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+10B000,U+10CFFF,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+10D0A0,U+10D2FF,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+10D400,U+10DFFF,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation tracking slot.
1,U+10E200,U+10E35F,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+10E470,U+10E4EF,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+10E5A0,U+10E5DF,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+10E630,U+10E64F,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+10E6D0,U+10E7FF,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+10E8A0,U+10E9FF,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+10EAA0,U+10EB9F,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+10EBE0,U+10EF9F,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+10EFD0,U+10F91F,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+10F920,U+10FAFF,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
1,U+10FF00,U+10FFBF,OPEN_SLOT,NONE,Waiting for Submissions,Plane 16 allocation structural space tracking slot.
